name,No,Company.Name,Month,Description,Founded,Lead.Investor,Deal.Size,Prior.Raise,Reason,Interesting,uuid,,,,
birdeye,65,BirdEye,42794,"Provider of business reputation marketing platform. The company's platform captures real-time customer feedback, ratings and sentiment across every channel - review sites, social media and surveys and allows businesses to establish a positive online presence and benchmark performance across locations and against competitors.",2012,"Trinity Ventures (Ajay Chopra), World Innovation Lab (Robert Theis)",25,8,Early / Small,0,bfbf5b43-f2b4-73eb-f243-aaee277cd03e,,,,27/02/2017
bitmovin,506,Bitmovin,43220,"Provider of an online media streaming platform intended to offer video infrastructure for online media companies around the world. The company's platform offers cloud-based video encoding services for companies and developers to reduce video loading times, prevent buffering and increase video quality for the viewer, enabling developers and content providers to deliver quality experience to end users.",2013,Highland Capital Partners Europe (Fergal Mullen),30,11.029947,NA,1,5cfe81b6-462e-7130-3cd3-7d11c0e3f3dc,,,,29/04/2018
bizagi,399,Bizagi,42978,"Developer of business process management software designed to help organizations to transform into digital businesses. The company's enterprise software for digital transformation connects people, applications, devices and information and offers a complete BPM life-cycle from process automation to workflow automation and deployment services to customers enabling clients to benefit from effective digitization of their business processes.",1989,Invus Group,48,0,NA,1,9aee0db2-9653-6715-e17e-117542788b7c,,,,30/08/2017
blade,219,Blade,43190,"Provider of short distance aviation services intended to reduce the cost of air travel on private aircraft. The company's indirect air carrier services leverage mobile technology and an on-the-ground customer experience network that enables users to create their own crowdsourced flights or purchase seats on pre-existing flights between Manhattan, the Hamptons, Nantucket, the Jersey Shore, Miami and all NYC surrounding airports.",2014,"Colony NorthStar, Lerer Hippeau Ventures",38,11.2,Business Model,0,f89de025-eacb-0c39-4790-d1a7a7e7f2a5,,,,30/03/2018
blockstream,137,Blockstream,42429,Developer of a mechanism to create cryptocurrencies. The company engages in developing a blockchain technology-based mechanism to create cryptographically decentralized IOU such as a bitcoin-based crypto-currency.,2014,"AXA Strategic Ventures (Francois Robinet), Data Collective, Digital Garage (Kaoru Hayashi), Horizons Ventures (Frances Kang)",55,22.2789,Business Model,0,6d7bb608-fada-d4b9-3840-fa4dc80bb341,,,,28/02/2016
bluecore,414,Bluecore,43039,"Developer of a decision making platform designed to empower commerce organizations to discover their best customers and keep them for life. The company's decision making platform powers unique interactions by unifying customer and catalog data, enabling marketing organizations to take meaningful, immediate action on data through the creation of highly targeted audiences for multi-channel use.",2013,Norwest Venture Partners (Scott Beechuk),35,28.22,NA,1,28fc27ed-c681-be0c-d12d-c3f28ce0b08a,,,,30/10/2017
bouncex,337,BounceX,42886,"Provider of cloud-based behavioral marketing platform designed to offer programmatic advertisements. The company's behavioral marketing platform offers people-based marketing automation and inbox re-targeting, enabling enterprises to target abandoning visitors with content and convert them into customers.",2010,SVB Financial Group (Melissa Stepanis),31,7.95,NA,1,ca55300e-a961-283d-739f-10a26a99e067,,,,30/05/2017
bridge2solutions,157,Bridge2 Solutions,42521,"Operator of marketing solutions platform. The company provides a redemption platform for the loyalty and rewards industry. The platform directly connects loyalty and rewards program sponsors with the largest and most trusted retail, merchant, and travel brands, removing the need to purchase and store physical inventory.",2006,Updata Partners (Carter Griffin),35,5,Business Model,0,90481d95-721b-3def-6d23-628398fbf110,,,,30/05/2016
brighter,16,Brighter,42490,"Provider of a dental network for self-paying patients. The company provides an alternative to dental insurance by pre-negotiating rates of common procedures from its network of approved dentists, with the aim of providing affordable care to its members. Its service also provides profiles on network dentists including: dentists’ education and credentials, office amenities, patient reviews, appointment schedules, price etc.",2010,General Catalyst Partners (Gabe Ling),21,28,Early / Small,0,16b149dd-cb2e-633e-776c-c163a7afc076,,,,29/04/2016
brightwheel,597,Brightwheel,43404,"Developer of a mobile and cloud-based educational platform designed to connect schools and families, and solve their biggest challenges. The company's platform helps teachers to manage their day and communicate with parents, gives parents insight into what their children are learning and automates the process of managing operations for administrators, enabling administrators to manage their school, teachers manage their classroom, and parents manage their home easier.",2014,Bessemer Venture Partners(Charles Birnbaum),21,13.39,NA,1,af4262cb-c13b-fd0f-af20-15b6d37d5879,,,,30/10/2018
browserstack,468,BrowserStack,43131,"Developer of a Saas based web and mobile browser testing platform designed to make developers' lives easier. The company's website testing tool helps developers to test how their websites perform with various operating system, device and browser configurations all through a cloud-based interface, enabling users to quickly and easily test their mobile and web applications across thousands of devices and desktop browsers in order to ensure their software meets and exceeds organizational and customer expectations.",2011,Accel (Ryan Sweeney),50,0,NA,1,94a0c526-b825-d21f-2d56-bed09d75a848,,,,30/01/2018
bugcrowd,486,Bugcrowd,43159,"Provider of security software designed to offer crowdsourced security testing services. The company's security software is cost-effective and far faster than standard security testing programs and provides a range of responsible disclosure and managed service options, enabling companies to commission a customized security testing program that fits their specific requirements.",2012,Triangle Peak Partners (Dain DeGroff),26,25.649993,NA,1,02984842-e612-158b-cba1-efca41eacd29,,,,27/02/2018
busfor,184,Busfor,42674,Developer of inventory distribution system for the transport market. The company provides customers services related to searching and buying bus tickets around the world.,2010,,20,3,Business Model,0,c1e8ae45-16b6-f82c-512e-fa3b10ca94f9,,,,30/10/2016
button,264,Button,42766,"Developer of a mobile connection platform designed to unify applications to commerce brands. The company's mobile connection platform offers mobile customer acquisition, engagement and monetization services, enabling users to add cross-application features and at the same time helps businesses to generate user loyalty.",2014,Norwest Venture Partners (Jared Hyatt),20,14.31,NA,1,e173a39b-f709-3ac4-96c4-007a35451450,,,,30/01/2017
bynder,38,Bynder,42613,"Provider of an online brand portal and asset management platform. The company provides a branding automation platform that allow users to send, manage, create and edit marketing and branding materials. It also offers a media asset bank, workflow management, brand identity, publishing on demand and product information management system.",2013,Insight Venture Partners (Jeffrey Horing),22.41,0,Early / Small,0,c7427daf-adab-c3de-5b44-9c09b77d545e,,,,30/08/2016
calligo,52,Calligo,42704,"Provider of data protection services. The company provides a cloud-based platform that offers data protection, network security and privacy with data residency guarantees for enterprises.",2011,,20,2.6,Early / Small,0,ff9097be-7949-d277-fb8e-630dbf136de7,,,,29/11/2016
callrail,408,CallRail,43008,"Provider of call tracking and analytics platform intended to offer an intuitive software for data-driven marketers. The company's call tracking and analytics platform helps businesses understand which marketing campaigns are delivering valuable phone call conversions, enabling them to optimize the performance of their advertising campaigns, increase sales effectiveness and improve customer retention.",2011,Sageview Capital,75,3.92,NA,1,53475725-9e02-bdea-467b-aa6e51fa915f,,,,29/09/2017
callsign,78,Callsign,42947,"Developer of a artificial intelligence-based authentication platform designed to provide the most secure and seamless authentication experience for enterprises and users. The company's authentication platform enables enterprises to select an authentication journey for each user in real-time, based on their risk profile and tendencies by adapting the type of authentication to the situation virtually eliminating advanced threats.",2012,"Accel (Hendrik Nelis), PTB Ventures (David Fields)",35,3,Early / Small,0,d42788be-f786-a195-8a2c-4fb2e30d749f,,,,30/07/2017
campuslogic,513,CampusLogic,43220,"Developer of a student financial services (SFS) platform designed to transform the way higher education delivers student financial services. The company's platform is designed to enable schools to increase accessibility to education, reduce student borrowing and drive down the cost of financial aid administration.",2011,JMI Equity (Peter Arrowsmith),55,17.46,NA,1,ac3bc219-a8ba-b65a-c9f3-31be898e2eeb,,,,29/04/2018
captricity,15,Captricity,42400,Provider of data capture technology that turns paper information into digital data. The company provides a data-capture platform that uses cloud-native technology with crowd-guided machine learning to extract structured information into digital data that can be analyzed and scaled.,2011,White Mountains Insurance Group (Teresa Chia),35,15.742156,NA,1,2def1976-93a3-2259-d125-82caa5265bd0,,,,30/01/2016
cargomatic,576,Cargomatic,43343,"Provider of a technology-based transportation platform intended to connect shippers and carriers in the fragmented short-haul and drayage trucking markets. The company's platform connects shippers, receivers and carriers and eliminates the volume of calls, emails and faxes traditionally needed to book a transaction, enabling customers to track information in real-time, access or list untapped trucking capacity within the market, improve service levels including pick up time and delivery rates as well as manage outsourced vendors within one platform.",2013,Warburg Pincus(Alex Berzofsky),35,22.68,NA,1,16e691e4-149f-4eda-f806-a3bffd80823f,,,,30/08/2018
caroobi,539,Caroobi,43281,"Provider of an online portal for placement of motor mechanics designed to simplify and improve the automotive after sales customer experience. The company's motor mechanics placement platform enables users to book various auto-related services such as auto body paint jobs, repairs, maintenance and inspection, enabling users to book repairs at a transparent and fixed price.",2015,NGP Capital(Walter Masalin),20,0,NA,1,a08740b0-1b6f-13d1-3aed-088bb64a2896,,,,29/06/2018
